"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
101902,ALDINE ISD,101902043,HAMBRICK MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1062,0.937,0.467,C,78,Not Rated: Senate Bill 1365,59,B,80,B,80,Not Rated: Senate Bill 1365,69,C,74,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902044,STOVALL MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,972,0.939,0.526,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,63,C,74,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902045,TEAGUE MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1312,0.898,0.352,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,69,Comprehensive Progress,TRUE,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,18,18,127,127,7,4,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902046,HOFFMAN MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1056,0.806,0.478,C,72,Not Rated: Senate Bill 1365,58,C,74,C,74,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,68,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,COMBINED ENROLLMENT TYPE SCHOOL
101902,ALDINE ISD,101902047,SHOTWELL MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1094,0.902,0.424,C,77,Not Rated: Senate Bill 1365,60,B,80,B,80,C,70,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902048,GRANTHAM ACADEMY,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1204,0.929,0.522,C,73,Not Rated: Senate Bill 1365,60,C,74,C,74,C,70,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902051,PLUMMER MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1026,0.892,0.391,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,63,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,18,29,141,141,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902052,LEWIS MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1076,0.886,0.52,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,69,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,18,18,141,141,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902053,GARCIA MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1151,0.905,0.398,C,79,Not Rated: Senate Bill 1365,62,B,81,B,81,C,72,C,74,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,18,29,140,140,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902054,JONES MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1385,0.861,0.214,C,75,Not Rated: Senate Bill 1365,64,C,77,C,77,C,72,C,71,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,2,2,127,127,4,4,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902055,MEAD MIDDLE,REGION 04: HOUSTON,HARRIS,Middle School,8-Jun,No,No,1091,0.914,0.436,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,65,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902062,HOUSTON ACADEMY,REGION 04: HOUSTON,HARRIS,Middle School,6-May,No,No,397,0.892,0.219,C,78,Not Rated: Senate Bill 1365,60,C,79,C,79,C,70,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902098,HIGHPOINT,REGION 04: HOUSTON,HARRIS,High School,11-Aug,No,No,4,0.5,0.5,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,29,29,148,145,6,6,SPECIAL ASSIGNMENT SCHOOL
101902,ALDINE ISD,101902101,ANDERSON ACADEMY,REGION 04: HOUSTON,HARRIS,Elementary,4-Jan,No,No,655,0.931,0.258,B,80,C,71,B,83,B,83,C,79,C,74,,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902103,CARROLL EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,647,0.929,0.703,B,85,Not Rated: Senate Bill 1365,55,B,89,B,89,Not Rated: Senate Bill 1365,57,C,74,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902104,REECE ACADEMY,REGION 04: HOUSTON,HARRIS,Elementary,PK - KG,No,No,409,0.91,0.235,B,80,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,18,18,139,139,15,15,COMBINED ENROLLMENT TYPE SCHOOL
101902,ALDINE ISD,101902105,FRANCIS EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,808,0.915,0.246,B,85,Not Rated: Senate Bill 1365,53,B,89,B,89,Not Rated: Senate Bill 1365,55,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,141,141,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902106,GOODMAN EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,422,0.915,0.597,B,89,C,72,A,93,A,93,B,81,B,80,,,Earned,Earned,Not Earned,,Earned,Earned,Earned,18,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902107,CARTER ACADEMY,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,598,0.876,0.482,C,79,Not Rated: Senate Bill 1365,60,B,82,B,82,Not Rated: Senate Bill 1365,66,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,29,140,140,15,15,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902108,LANE SCHOOL,REGION 04: HOUSTON,HARRIS,High School,12-Aug,No,No,72,0.736,0.042,C,77,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,29,29,141,141,6,6,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902110,WORSHAM EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,517,0.94,0.505,B,83,C,72,B,86,B,86,B,81,C,77,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902111,OLESON EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,486,0.93,0.626,B,80,Not Rated: Senate Bill 1365,51,B,83,B,83,Not Rated: Senate Bill 1365,53,C,72,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902112,ORANGE GROVE EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,621,0.919,0.657,B,84,Not Rated: Senate Bill 1365,55,B,89,B,89,Not Rated: Senate Bill 1365,57,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902113,RAYMOND EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,484,0.957,0.711,C,73,Not Rated: Senate Bill 1365,49,C,77,C,77,Not Rated: Senate Bill 1365,51,Not Rated: Senate Bill 1365,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902114,SMITH EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,582,0.847,0.61,B,82,Not Rated: Senate Bill 1365,50,B,86,B,86,Not Rated: Senate Bill 1365,52,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902115,ODOM EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,399,0.95,0.717,B,87,Not Rated: Senate Bill 1365,62,A,92,A,92,C,70,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902116,JOHNSON EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,611,0.938,0.574,C,75,Not Rated: Senate Bill 1365,50,C,77,C,77,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,69,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,141,141,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902117,THOMPSON EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,482,0.917,0.743,A,93,C,75,A,97,A,97,B,84,B,83,,,Earned,Earned,Earned,,Earned,Earned,Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902118,SAMMONS EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,394,0.888,0.556,B,84,Not Rated: Senate Bill 1365,64,B,88,B,88,C,70,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,29,140,140,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902119,STEPHENS EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,532,0.934,0.562,B,85,Not Rated: Senate Bill 1365,67,B,88,B,88,C,74,C,78,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902121,ERMEL EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,489,0.906,0.652,B,87,Not Rated: Senate Bill 1365,65,A,92,A,92,C,72,C,75,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,2,18,139,148,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902122,CARMICHAEL EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,433,0.938,0.536,A,90,C,78,A,93,A,93,B,88,B,82,,,Earned,Earned,Not Earned,,Earned,Not Earned,Earned,18,18,139,139,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902123,CONLEY EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,377,0.92,0.432,C,73,Not Rated: Senate Bill 1365,57,C,74,C,74,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,69,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902124,DUNN EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,786,0.887,0.454,C,75,Not Rated: Senate Bill 1365,56,C,77,C,77,Not Rated: Senate Bill 1365,57,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,141,141,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902125,GRAY EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,535,0.94,0.436,B,80,Not Rated: Senate Bill 1365,60,B,83,B,83,Not Rated: Senate Bill 1365,67,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902126,BLACK EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,565,0.883,0.811,C,72,Not Rated: Senate Bill 1365,51,C,77,C,77,Not Rated: Senate Bill 1365,53,Not Rated: Senate Bill 1365,61,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902128,CALVERT EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,560,0.921,0.502,B,87,Not Rated: Senate Bill 1365,64,A,91,A,91,C,70,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,141,141,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902129,HARRIS EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,535,0.914,0.593,B,80,Not Rated: Senate Bill 1365,54,B,83,B,83,Not Rated: Senate Bill 1365,56,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902130,KUJAWA EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,550,0.882,0.471,B,82,Not Rated: Senate Bill 1365,56,B,86,B,86,Not Rated: Senate Bill 1365,58,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902131,BUSSEY EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,522,0.889,0.759,B,80,Not Rated: Senate Bill 1365,54,B,83,B,83,Not Rated: Senate Bill 1365,55,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902132,SPENCE EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,637,0.901,0.51,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,48,C,70,C,70,Not Rated: Senate Bill 1365,50,Not Rated: Senate Bill 1365,63,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,29,141,141,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902134,JONES EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,724,0.873,0.294,B,81,Not Rated: Senate Bill 1365,56,B,85,B,85,Not Rated: Senate Bill 1365,58,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,127,127,15,4,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902135,GREENSPOINT EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,651,0.929,0.579,B,85,Not Rated: Senate Bill 1365,59,B,89,A,92,Not Rated: Senate Bill 1365,65,C,76,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,18,18,141,141,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902136,CYPRESSWOOD EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,790,0.867,0.32,C,76,Not Rated: Senate Bill 1365,56,B,80,B,80,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,66,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,127,127,7,4,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902137,ECKERT EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,599,0.891,0.541,B,80,Not Rated: Senate Bill 1365,49,B,83,B,83,Not Rated: Senate Bill 1365,50,C,72,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,141,141,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902138,ESCAMILLA EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,807,0.958,0.576,B,84,Not Rated: Senate Bill 1365,60,B,88,B,88,Not Rated: Senate Bill 1365,69,C,75,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,18,18,141,141,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902139,STEHLIK EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,544,0.912,0.588,C,77,Not Rated: Senate Bill 1365,55,B,80,B,80,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,69,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,29,140,140,6,6,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902141,CARAWAY EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,489,0.922,0.395,C,79,Not Rated: Senate Bill 1365,50,B,82,B,82,Not Rated: Senate Bill 1365,52,C,72,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,18,139,139,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902142,WILSON EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,359,0.953,0.624,B,82,Not Rated: Senate Bill 1365,53,B,86,B,86,Not Rated: Senate Bill 1365,55,C,72,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,18,29,140,140,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
101902,ALDINE ISD,101902143,REED ACADEMY,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,738,0.934,0.562,B,85,Not Rated: Senate Bill 1365,56,B,89,B,89,Not Rated: Senate Bill 1365,58,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,29,29,140,140,6,6,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101902,ALDINE ISD,101902144,HILL EL,REGION 04: HOUSTON,HARRIS,Elementary,5-Jan,No,No,481,0.938,0.561,B,88,Not Rated: Senate Bill 1365,67,A,93,A,93,C,74,C,76,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,18,29,140,140,15,15,ZONED SCHOOL-TRANSFERS ACCEPTED
